employee_id,age,attrition,business_travel,country,city,daily_rate,department,distance_from_home,education,education_field,employee_count,employee_number,environment_satisfaction,gender,hire_date,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over_18,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager
EMP0000002,49,No,Travel_Frequently,Netherlands,Eindhoven,302,Research & Development,8,1,Life Sciences,1,2,3,Male,05/11/2016,61,2,2,Research Scientist,2,Married,9207,8370,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7
EMP0000005,27,No,Travel_Rarely,United Kingdom,Edinburgh,641,Research & Development,2,1,Medical,1,5,1,Male,09/03/2024,40,3,1,Laboratory Technician,2,Married,19503,17730,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2
EMP0000007,59,No,Travel_Rarely,United Kingdom,Edinburgh,1436,Research & Development,3,3,Medical,1,7,3,Female,18/02/2025,81,4,1,Laboratory Technician,1,Married,43692,39720,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0
EMP0000011,35,No,Travel_Rarely,United Kingdom,Edinburgh,877,Research & Development,16,3,Medical,1,11,1,Male,26/05/2021,84,4,1,Laboratory Technician,2,Married,26697,24270,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3
EMP0000016,29,No,Travel_Rarely,United Kingdom,London,1506,Research & Development,21,4,Life Sciences,1,16,2,Female,10/05/2016,51,4,5,Manufacturing Director,1,Divorced,45837,41670,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8
EMP0000017,32,No,Travel_Rarely,Germany,Berlin,362,Research & Development,5,2,Life Sciences,1,17,1,Male,27/08/2020,80,4,1,Research Scientist,2,Divorced,11022,10020,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5
EMP0000022,36,Yes,Travel_Rarely,United Kingdom,Edinburgh,1321,Sales,9,4,Life Sciences,1,22,3,Male,04/10/2021,82,2,1,Sales Representative,1,Single,40194,36540,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3
EMP0000023,34,No,Travel_Rarely,Germany,Hamburg,454,Research & Development,7,4,Life Sciences,1,23,1,Female,21/05/2014,53,3,5,Research Director,2,Single,13827,12570,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11
EMP0000025,34,Yes,Travel_Rarely,Germany,Munich,758,Research & Development,6,1,Medical,1,25,2,Male,11/08/2022,83,3,1,Research Scientist,1,Single,23067,20970,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3
EMP0000027,32,Yes,Travel_Frequently,United Kingdom,Edinburgh,1220,Research & Development,16,1,Life Sciences,1,27,2,Female,16/10/2016,72,1,1,Research Scientist,1,Single,37125,33750,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7
