employee_id,age,attrition,business_travel,country,city,daily_rate,department,distance_from_home,education,education_field,employee_count,employee_number,environment_satisfaction,gender,hire_date,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over_18,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager
EMP0000001,41,Yes,Travel_Rarely,Germany,Munich,1195,sales,1,2,Life Sciences,1,1,2,Female,13/10/2020,94,3,2,Sales Executive,4,Single,36366,33060,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5
EMP0000002,49,No,Travel_Frequently,Netherlands,Eindhoven,302,Research & Development,8,1,Life Sciences,1,2,3,Male,05/11/2016,61,2,2,Research Scientist,2,Married,9207,8370,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7
EMP0000003,37,Yes,Travel_Rarely,Spain,Seville,1489,Research & Development ,2,2,Other,1,3,4,Male,28/02/2026,92,2,1,Laboratory Technician,3,Single,45309,41190,6,Y,Yes,15,3,2,80,0,7,3,3,2,0,20,0
EMP0000004,33,No,Travel_Frequently,France,Marseille,1510,Research & Development,3,4,Life Sciences,1,4,4,Female,09/08/2018,56,3,1,Research Scientist,3,Married,,41760,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0
EMP0000005,27,No,Travel_Rarely,United Kingdom,Edinburgh,641,Research & Development,2,1,Medical,1,5,1,Male,09/03/2024,40,3,1,Laboratory Technician,2,Married,19503,17730,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2
EMP0000006,32,No,Travel_Frequently,United Kingdom,London,1090,Research & Development ,2,2,Life Sciences,1,6,4,Male,17/06/2019,79,3,1,Laboratory Technician,4,Single,33165,30150,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6
EMP0000007,59,No,Travel_Rarely,United Kingdom,Edinburgh,1436,Research & Development,3,3,Medical,1,7,3,Female,18/02/2025,81,4,1,Laboratory Technician,1,Married,43692,39720,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0
EMP0000008,30,No,Travel_Rarely,Italy,Rome,1473,Research & Development,24,1,Life Sciences,1,8,4,Male,06/12/2025,67,3,1,Laboratory Technician,3,Divorced,44814,40740,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0
EMP0000009,38,No,Travel_Frequently,France,Paris,234,Research & Development,23,3,Life Sciences,1,9,4,Male,07/03/2017,44,2,5,Manufacturing Director,3,Single,7128,6480,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8
EMP0000010,36,No,Travel_Rarely,Spain,Madrid,1409,Research & Development,27,3,Medical,1,10,3,Male,28/07/2019,94,3,2,Healthcare Representative,3,Married,42867,38970,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7
