"employee_number","job_level","total_working_years","monthly_income"
21,5,5,22209
60,5,7,36795
61,5,9,14091
67,5,6,39435
85,5,5,38049
136,5,7,7128
185,5,5,35772
193,5,8,18348
200,5,9,35772
201,5,6,15576
202,5,7,
225,5,6,32307
246,5,9,43791
256,5,5,22605
279,5,6,48807
341,5,8,39336
347,5,8,15939
366,5,7,37752
455,5,8,7656
473,5,8,14718
531,5,9,20064
538,5,9,9702
561,5,7,5511
598,5,8,30756
611,5,9,8877
631,5,4,40590
662,5,4,5841
667,5,4,20361
693,5,8,16434
725,5,5,39798
727,5,4,28149
731,5,9,5049
734,5,8,35178
738,5,8,18117
740,5,4,34815
783,5,7,38808
823,5,5,33099
906,5,9,22902
950,5,9,17292
1015,5,9,6006
1074,5,8,35739
1080,5,9,35937
1092,5,5,18975
1113,5,7,29799
1146,5,7,18447
1152,5,6,19140
1159,5,9,22143
1175,5,7,25476
1176,5,7,16236
1183,5,4,29502
1240,5,9,5379
1285,5,9,41349
1297,5,9,36036
1346,5,4,7227
1395,5,8,45309
1407,5,9,5181
1468,5,6,5115
1471,5,5,53168
1473,5,8,47782
1476,5,9,50321
1479,5,4,
1480,5,9,1
1482,5,7,56685
1485,5,7,43959
1492,5,6,67548
1506,5,6,50234
1509,5,8,
1518,5,6,58219
1522,5,5,44804
1524,5,8,51337
1526,5,3,49489
1537,5,9,101283
1539,5,5,
1554,5,9,45496
1555,5,9,54498
1582,5,3,49102
1623,5,5,43685
1624,5,6,58576
1627,5,7,55559
1629,5,7,
1647,5,9,46744
1653,5,9,48621
1673,5,8,63962
1682,5,9,
1688,5,7,57113
1691,5,9,92910
1701,5,8,92496
1724,5,7,56422
1734,5,7,46461
1737,5,9,89488
1738,5,6,60362
1744,5,7,99885
1785,5,9,46139
1799,5,8,42785
1801,5,7,53539
1803,5,8,63287
1807,5,3,50945
1808,5,8,58788
1829,5,9,43255
1835,5,6,43743
1836,5,4,61617
1845,5,9,56629
1849,5,7,
1854,5,9,98780
1860,5,8,96247
1869,5,6,42979
1872,5,7,55848
1873,5,8,61386
1885,5,9,47144
1890,5,8,42599
1899,5,6,54899
1924,5,8,60277
1925,5,5,
1944,5,4,69712
1992,5,7,48450
2025,5,5,51868
2029,5,7,53194
2030,5,8,42489
2052,5,3,60187
2058,5,5,45370
2090,5,5,62053
2095,5,5,
2099,5,7,67452
2101,5,6,55141
2111,5,8,
2112,5,8,59582
2126,5,9,88785
2145,5,6,58374
2168,5,5,55102
2174,5,9,51198
2189,5,5,57158
2190,5,8,59661
2195,5,8,71495
2198,5,8,47513
2203,5,7,111420
2207,5,9,79466
2215,5,5,54589
2230,5,6,53749
2263,5,6,41762
2270,5,9,63510
2281,5,5,47775
2283,5,7,62950
2291,5,8,72991
2292,5,9,97603
2304,5,4,46894
2312,5,7,86812
2343,5,3,49080
2366,5,6,57836
2368,5,6,50541
2400,5,8,61990
2404,5,9,
2409,5,7,57233
2420,5,6,56282
2425,5,7,54840
2432,5,6,57207
2434,5,8,42589
2435,5,4,54223
2442,5,9,45501
2455,5,6,51129
2467,5,7,66014
2470,5,6,52710
2476,5,6,48225
2496,5,9,70946
2499,5,3,50748
2504,5,6,46835
2505,5,7,42370
2524,5,7,59470
2548,5,9,55267
2556,5,9,76721
2583,5,6,69042
2633,5,6,68094
2648,5,9,110106
2661,5,3,50386
2668,5,9,74699
2684,5,6,58124
2692,5,7,56155
2696,5,4,57433
2715,5,4,60746
2723,5,9,101604
2724,5,9,55514
2735,5,7,
2747,5,4,51524
2758,5,8,45041
2765,5,7,68004
2768,5,6,51180
2818,5,5,48732
2820,5,5,48991
2831,5,8,
2843,5,9,49361
2860,5,6,53318
2869,5,5,47088
2878,5,8,42836
2891,5,6,51780
2921,5,8,57396
2922,5,5,66762
2926,5,9,74165
2928,5,9,95934
2938,5,3,42291
2949,5,9,66292
2955,5,5,59193
2956,5,5,57558
2974,5,7,53119
2979,5,7,43692
2985,5,8,46206
2989,5,4,51291
2994,5,9,50354
2998,5,9,83971
