"age","gender","marital_status","over18","attrition","business_travel","distance_from_home","department","job_role","job_level","employee_number","employee_count","monthly_income","monthly_rate","daily_rate","hourly_rate","percent_salary_hike","stock_option_level","education","education_field","training_times_last_year","environment_satisfaction","job_involvement","job_satisfaction","performance_rating","relationship_satisfaction","work_life_balance","num_companies_worked","total_working_years","years_at_company","years_in_current_role","years_since_last_promotion","years_with_curr_manager","over_time","standard_hours"
41,Female,Single,Y,Yes,Travel_Rarely,1,Sales,Sales Executive,2,1,1,5993,19479,1102,94,11,0,2,Life Sciences,0,2,3,4,3,1,1,8,8,6,4,0,5,Yes,80
49,Male,Married,Y,No,Travel_Frequently,8,Research & Development,Research Scientist,2,2,1,5130,24907,279,61,23,1,1,Life Sciences,3,3,2,2,4,4,3,1,10,10,7,1,7,No,80
37,Male,Single,Y,Yes,Travel_Rarely,2,Research & Development,Laboratory Technician,1,4,1,2090,2396,1373,92,15,0,2,Other,3,4,2,3,3,2,3,6,7,0,0,0,0,Yes,80
33,Female,Married,Y,No,Travel_Frequently,3,Research & Development,Research Scientist,1,5,1,2909,23159,1392,56,11,0,4,Life Sciences,3,4,3,3,3,3,3,1,8,8,7,3,0,Yes,80
27,Male,Married,Y,No,Travel_Rarely,2,Research & Development,Laboratory Technician,1,7,1,3468,16632,591,40,12,1,1,Medical,3,1,3,2,3,4,3,9,6,2,2,2,2,No,80
32,Male,Single,Y,No,Travel_Frequently,2,Research & Development,Laboratory Technician,1,8,1,3068,11864,1005,79,13,0,2,Life Sciences,2,4,3,4,3,3,2,0,8,7,7,3,6,No,80
59,Female,Married,Y,No,Travel_Rarely,3,Research & Development,Laboratory Technician,1,10,1,2670,9964,1324,81,20,3,3,Medical,3,3,4,1,4,1,2,4,12,1,0,0,0,Yes,80
30,Male,Divorced,Y,No,Travel_Rarely,24,Research & Development,Laboratory Technician,1,11,1,2693,13335,1358,67,22,1,1,Life Sciences,2,4,3,3,4,2,3,1,1,1,0,0,0,No,80
38,Male,Single,Y,No,Travel_Frequently,23,Research & Development,Manufacturing Director,3,12,1,9526,8787,216,44,21,0,3,Life Sciences,2,4,2,3,4,2,3,0,10,9,7,1,8,No,80
36,Male,Married,Y,No,Travel_Rarely,27,Research & Development,Healthcare Representative,2,13,1,5237,16577,1299,94,13,2,3,Medical,3,3,3,3,3,2,2,6,17,7,7,7,7,No,80
35,Male,Married,Y,No,Travel_Rarely,16,Research & Development,Laboratory Technician,1,14,1,2426,16479,809,84,13,1,3,Medical,5,1,4,2,3,3,3,0,6,5,4,0,3,No,80
29,Female,Single,Y,No,Travel_Rarely,15,Research & Development,Laboratory Technician,2,15,1,4193,12682,153,49,12,0,2,Life Sciences,3,4,2,3,3,4,3,0,10,9,5,0,8,Yes,80
31,Male,Divorced,Y,No,Travel_Rarely,26,Research & Development,Research Scientist,1,16,1,2911,15170,670,31,17,1,1,Life Sciences,1,1,3,3,3,4,2,1,5,5,2,4,3,No,80
34,Male,Divorced,Y,No,Travel_Rarely,19,Research & Development,Laboratory Technician,1,18,1,2661,8758,1346,93,11,1,2,Medical,2,2,3,4,3,3,3,0,3,2,2,1,2,No,80
28,Male,Single,Y,Yes,Travel_Rarely,24,Research & Development,Laboratory Technician,1,19,1,2028,12947,103,50,14,0,3,Life Sciences,4,3,2,3,3,2,3,5,6,4,2,0,3,Yes,80
29,Female,Divorced,Y,No,Travel_Rarely,21,Research & Development,Manufacturing Director,3,20,1,9980,10195,1389,51,11,1,4,Life Sciences,1,2,4,1,3,3,3,1,10,10,9,8,8,No,80
32,Male,Divorced,Y,No,Travel_Rarely,5,Research & Development,Research Scientist,1,21,1,3298,15053,334,80,12,2,2,Life Sciences,5,1,4,2,3,4,2,0,7,6,2,0,5,Yes,80
22,Male,Divorced,Y,No,Non-Travel,16,Research & Development,Laboratory Technician,1,22,1,2935,7324,1123,96,13,2,2,Medical,2,4,4,4,3,2,2,1,1,1,0,0,0,Yes,80
53,Female,Married,Y,No,Travel_Rarely,2,Sales,Manager,4,23,1,15427,22021,1219,78,16,0,4,Life Sciences,3,1,2,4,3,3,3,2,31,25,8,3,7,No,80
38,Male,Single,Y,No,Travel_Rarely,2,Research & Development,Research Scientist,1,24,1,3944,4306,371,45,11,0,3,Life Sciences,3,4,3,4,3,3,3,5,6,3,2,1,2,Yes,80
24,Female,Divorced,Y,No,Non-Travel,11,Research & Development,Manufacturing Director,2,26,1,4011,8232,673,96,18,1,2,Other,5,1,4,3,3,4,2,0,5,4,2,1,3,No,80
36,Male,Single,Y,Yes,Travel_Rarely,9,Sales,Sales Representative,1,27,1,3407,6986,1218,82,23,0,4,Life Sciences,4,3,2,1,4,2,3,7,10,5,3,0,3,No,80
34,Female,Single,Y,No,Travel_Rarely,7,Research & Development,Research Director,3,28,1,11994,21293,419,53,11,0,4,Life Sciences,4,1,3,2,3,3,3,0,13,12,6,2,11,No,80
21,Male,Single,Y,No,Travel_Rarely,15,Research & Development,Research Scientist,1,30,1,1232,19281,391,96,14,0,2,Life Sciences,6,3,3,4,3,4,3,1,0,0,0,0,0,No,80
34,Male,Single,Y,Yes,Travel_Rarely,6,Research & Development,Research Scientist,1,31,1,2960,17102,699,83,11,0,1,Medical,2,2,3,1,3,3,3,2,8,4,2,1,3,No,80
53,Female,Divorced,Y,No,Travel_Rarely,5,Research & Development,Manager,5,32,1,19094,10735,1282,58,11,1,3,Other,3,3,3,3,3,4,2,4,26,14,13,4,8,No,80
32,Female,Single,Y,Yes,Travel_Frequently,16,Research & Development,Research Scientist,1,33,1,3919,4681,1125,72,22,0,1,Life Sciences,5,2,1,1,4,2,3,1,10,10,2,6,7,Yes,80
42,Male,Married,Y,No,Travel_Rarely,8,Sales,Sales Executive,2,35,1,6825,21173,691,48,11,1,4,Marketing,2,3,3,2,3,4,3,0,10,9,7,4,2,No,80
44,Female,Married,Y,No,Travel_Rarely,7,Research & Development,Healthcare Representative,3,36,1,10248,2094,477,42,14,1,4,Medical,4,1,2,4,3,4,3,3,24,22,6,5,17,No,80
46,Female,Single,Y,No,Travel_Rarely,2,Sales,Manager,5,38,1,18947,22822,705,83,12,0,4,Marketing,2,2,3,1,3,4,2,3,22,2,2,2,1,No,80
33,Male,Single,Y,No,Travel_Rarely,2,Research & Development,Laboratory Technician,1,39,1,2496,6670,924,78,11,0,3,Medical,3,3,3,4,3,4,3,4,7,1,1,0,0,No,80
44,Male,Married,Y,No,Travel_Rarely,10,Research & Development,Healthcare Representative,2,40,1,6465,19121,1459,41,13,0,4,Other,5,4,3,4,3,4,4,2,9,4,2,1,3,Yes,80
30,Male,Single,Y,No,Travel_Rarely,9,Research & Development,Laboratory Technician,1,41,1,2206,16117,125,83,13,0,2,Medical,5,4,2,3,3,1,3,1,10,10,0,1,8,No,80
39,Male,Married,Y,Yes,Travel_Rarely,5,Sales,Sales Representative,2,42,1,2086,3335,895,56,14,1,3,Technical Degree,6,4,3,4,3,3,4,3,19,1,0,0,0,No,80
24,Male,Married,Y,Yes,Travel_Rarely,1,Research & Development,Research Scientist,1,45,1,2293,3020,813,61,16,1,3,Medical,2,2,3,4,3,1,2,2,6,2,0,2,0,Yes,80
43,Female,Divorced,Y,No,Travel_Rarely,2,Research & Development,Research Scientist,1,46,1,2645,21923,1273,72,12,2,2,Medical,3,4,4,3,3,4,2,1,6,5,3,1,4,No,80
50,Male,Married,Y,Yes,Travel_Rarely,3,Sales,Sales Representative,1,47,1,2683,3810,869,86,14,0,2,Marketing,2,1,2,3,3,3,3,1,3,3,2,0,2,Yes,80
35,Female,Married,Y,No,Travel_Rarely,2,Sales,Sales Representative,1,49,1,2014,9687,890,97,13,0,3,Marketing,3,4,3,4,3,1,3,1,2,2,2,2,2,No,80
36,Female,Married,Y,No,Travel_Rarely,5,Research & Development,Research Scientist,1,51,1,3419,13072,852,82,14,1,4,Life Sciences,3,2,2,1,3,4,4,9,6,1,1,0,0,Yes,80
33,Female,Married,Y,No,Travel_Frequently,1,Sales,Sales Executive,2,52,1,5376,3193,1141,42,19,2,3,Life Sciences,3,3,4,1,3,1,3,2,10,5,3,1,3,No,80
